id,title,url,is_paid,price,is_practice_test_course,headline,language,name_from_site,rating,category,what_u_learn,description
366280,Java Database Connection: JDBC and MySQL,/course/how-to-connect-java-jdbc-to-mysql/,False,Free,False,Learn how to connect to a MySQL database with Java JDBC,English,Java Database Connection: JDBC and MySQL,4.5,"Development,Programming Languages,Java","Connect to a MySQL Database with Java
Submit SQL statements to insert, update and delete data
Handle SQL parameters with Prepared Statements
Calls stored procedures and handle various parameter types (IN, INOUT etc..)
Read and write BLOB and CLOB data files
Configure your database connection information with properties files",
1325686,Learn Android Application Development,/course/learn-android-application-development-y/,False,Free,False,A beginner course on Android Application development,English,Learn Android Application Development,4.6,"Development,Programming Languages,Android Development","Have a good overview of the Java programming language
Install Android Studio and setup the environment
Debug an Android Application
Create a signed APK file to submit to the Google Play Store
Use Explicit and Implicit Intents
Make use of Fragments
Create a Custom List View
Create the Android Actionbar
Create a custom Toast
Use Shared Preferences, Files and SQLite
Use the AsyncTask class
Handle Android 6 Permissions
Save data in an online database (MBAAS - Backendless) and do User management",
656678,"Master English Sentence Structure | Better Grammar, Writing",/course/easy-english-grammar-improve-your-english-in-one-day/,False,Free,False,Improve your English and master the English sentence types. Learn to master English grammar and speaking the easy way!,English,"Master English Sentence Structure | Better Grammar, Writing",4.5,"Teaching & Academics,Language Learning,English Grammar","Be ready to take on advanced English grammar topics
Master the basics of English Grammar
Learn the English Sentence Structure
Make Understanding English Easier",
3212317,Statistics and data literacy for non-statisticians,/course/statistics-literacy-for-non-statisticians/,False,Free,False,Learn the key terms and analysis methods in statistics,English,Statistics and data literacy for non-statisticians,4.8,"Teaching & Academics,Social Science,Statistics","Important terms in statistics
Overviews of the most important statistical methods",
5352746,The mindset must know before learning trading and investing,/course/the-mindset-must-know-before-learning-trading-and-investing/,False,Free,False,"Level 0. The preparation to learn any strategy like NCI, Inner Circle Trading ICT, Price action and be top 1% traders",English,The mindset must know before learning trading and investing,4.7,"Finance & Accounting,Investing & Trading,Forex Trading","Sharing the real trading results with Order block as Key level - Smart Money - Market structure - Market cycle - Multiple timeframes
Avoid the unreasonable expectation causing the wrong way in your trading career. You will know how a professional managed their capital
Knowing the real trading results during a month
Knowing the important skills to be a professional trader
Knowing the process to start your career successfully
Core mindset to start trading career successfully",
333610,Introduction to networking for complete beginners,/course/introduction-to-networking-for-complete-beginners/,False,Free,False,"Learn elementary networking concepts in less than 60 minutes. Great before going for General Networking, MTA or CCNA",English,Introduction to networking for complete beginners,4.3,"IT & Software,Network & Security,IT Networking Fundamentals","Identify network devices and hardware
Describe the roles of a firewall
Understand Cisco certificates
Use ipconfig, ping and traceroute commands
Check basic network connectivity
Have enough knowledge to join more advanced training",
574878,Web Developer Course HTML CSS JavaScript Learn Web Design,/course/web-developer-course-on-creating-a-business-website/,False,Free,False,Guide to setting up a website learn about setting up a web business HTML CSS and JavaScript create your own website,English,Web Developer Course HTML CSS JavaScript Learn Web Design,4.4,"Business,Entrepreneurship,Web Development","create websites
Apply HTML, CSS and JavaScript
understand how to create websites
website design
create their own websites",
5518262,How to Give an Incredible Deep Tissue Back Massage,/course/how-to-give-an-incredible-deep-tissue-back-massage/,False,Free,False,In Just 1 HR. You Will Learn How to Give the Most Amazing Deep Tissue Back Massage That Anyone Can Do!,English,How to Give an Incredible Deep Tissue Back Massage,4.8,"Health & Fitness,General Health,Massage","This course is for qualified massage therapists looking to be able to offer a new style of deep tissue back massage in their massage clinic
It's also for people that have little or no experience but would love to be able to give an amazing back massage to their partner, friends or family.
In this course, you will learn the complete skillset to be able to perform a deep tissue back massage that feels amazing to receive and to give.
You will learn the most important aspects of giving a beautiful massage experience and not repeating the mistakes that I made in my early days of my career.",
4077322,How to Create an Online Course: The Official Udemy Course,/course/official-udemy-create-course/,False,Free,False,"Use our recommended best practices to plan, produce, and publish a well-designed, high quality Udemy course",English,How to Create an Online Course: The Official Udemy Course,4.6,"Teaching & Academics,Online Education,Online Course Creation","How to create an online course using Udemy’s recommended course creation process
How to access and use tools and resources available to you as an Udemy instructor
Use the Marketplace Insights tool to identify in-demand topics to validate or refine your course topic
Learn how to define your ideal learners for your course
Determine and write clear learning objectives
Create practical activities and assessments to drive an engaging and high-quality course
Create a well-structured course outline
Produce your course content following best practices for recording and editing your videos
Write a compelling course landing page that attracts the right learners to your course
Launch your course successfully
Use your instructor dashboard to manage and evolve your course, and to grow your audience on Udemy",
1117528,Cyber Security Course for Beginners - Level 01,/course/certified-secure-netizen/,False,Free,False,Learn the Security Fundamentals required for your everyday online presence.,English,Cyber Security Course for Beginners - Level 01,4.2,"IT & Software,Network & Security,Cybersecurity","The Students will understand the basic concepts of Cyber Security.
The Students will learn how to protect themselves from the predators of the Internet.
The Students will be able to take precautionary measures to stay safe online.",
