id,title,url,is_paid,price,is_practice_test_course,headline,language,name_from_site,rating,category,what_u_learn,description,concat_text
366280,Java Database Connection: JDBC and MySQL,/course/how-to-connect-java-jdbc-to-mysql/,False,Free,False,Learn how to connect to a MySQL database with Java JDBC,English,Java Database Connection: JDBC and MySQL,4.5,"Development,Programming Languages,Java","Connect to a MySQL Database with Java
Submit SQL statements to insert, update and delete data
Handle SQL parameters with Prepared Statements
Calls stored procedures and handle various parameter types (IN, INOUT etc..)
Read and write BLOB and CLOB data files
Configure your database connection information with properties files",,"Java Database Connection: JDBC and MySQL. 
 Learn how to connect to a MySQL database with Java JDBC. 
 Development,Programming Languages,Java. 
 Connect to a MySQL Database with Java
Submit SQL statements to insert, update and delete data
Handle SQL parameters with Prepared Statements
Calls stored procedures and handle various parameter types (IN, INOUT etc..)
Read and write BLOB and CLOB data files
Configure your database connection information with properties files. 
 "
1325686,Learn Android Application Development,/course/learn-android-application-development-y/,False,Free,False,A beginner course on Android Application development,English,Learn Android Application Development,4.6,"Development,Programming Languages,Android Development","Have a good overview of the Java programming language
Install Android Studio and setup the environment
Debug an Android Application
Create a signed APK file to submit to the Google Play Store
Use Explicit and Implicit Intents
Make use of Fragments
Create a Custom List View
Create the Android Actionbar
Create a custom Toast
Use Shared Preferences, Files and SQLite
Use the AsyncTask class
Handle Android 6 Permissions
Save data in an online database (MBAAS - Backendless) and do User management",,"Learn Android Application Development. 
 A beginner course on Android Application development. 
 Development,Programming Languages,Android Development. 
 Have a good overview of the Java programming language
Install Android Studio and setup the environment
Debug an Android Application
Create a signed APK file to submit to the Google Play Store
Use Explicit and Implicit Intents
Make use of Fragments
Create a Custom List View
Create the Android Actionbar
Create a custom Toast
Use Shared Preferences, Files and SQLite
Use the AsyncTask class
Handle Android 6 Permissions
Save data in an online database (MBAAS - Backendless) and do User management. 
 "
333610,Introduction to networking for complete beginners,/course/introduction-to-networking-for-complete-beginners/,False,Free,False,"Learn elementary networking concepts in less than 60 minutes. Great before going for General Networking, MTA or CCNA",English,Introduction to networking for complete beginners,4.3,"IT & Software,Network & Security,IT Networking Fundamentals","Identify network devices and hardware
Describe the roles of a firewall
Understand Cisco certificates
Use ipconfig, ping and traceroute commands
Check basic network connectivity
Have enough knowledge to join more advanced training",,"Introduction to networking for complete beginners. 
 Learn elementary networking concepts in less than 60 minutes. Great before going for General Networking, MTA or CCNA. 
 IT & Software,Network & Security,IT Networking Fundamentals. 
 Identify network devices and hardware
Describe the roles of a firewall
Understand Cisco certificates
Use ipconfig, ping and traceroute commands
Check basic network connectivity
Have enough knowledge to join more advanced training. 
 "
1117528,Cyber Security Course for Beginners - Level 01,/course/certified-secure-netizen/,False,Free,False,Learn the Security Fundamentals required for your everyday online presence.,English,Cyber Security Course for Beginners - Level 01,4.2,"IT & Software,Network & Security,Cybersecurity","The Students will understand the basic concepts of Cyber Security.
The Students will learn how to protect themselves from the predators of the Internet.
The Students will be able to take precautionary measures to stay safe online.",,"Cyber Security Course for Beginners - Level 01. 
 Learn the Security Fundamentals required for your everyday online presence.. 
 IT & Software,Network & Security,Cybersecurity. 
 The Students will understand the basic concepts of Cyber Security.
The Students will learn how to protect themselves from the predators of the Internet.
The Students will be able to take precautionary measures to stay safe online.. 
 "
1413516,Learn Python for Total Beginners,/course/python-3-for-total-beginners/,False,Free,False,From newbie to pro in a day with 5 brain teasing exercises and full solutions provided.,English,Learn Python for Total Beginners,4.3,"Development,Programming Languages,Python","What lists, tuples and dictionaries are, and how to use them
How to apply control flow (logic) to code
Create and implement functions
How to use for loops and while loops
How to format strings
Work with txt files",,"Learn Python for Total Beginners. 
 From newbie to pro in a day with 5 brain teasing exercises and full solutions provided.. 
 Development,Programming Languages,Python. 
 What lists, tuples and dictionaries are, and how to use them
How to apply control flow (logic) to code
Create and implement functions
How to use for loops and while loops
How to format strings
Work with txt files. 
 "
5340996,Python Interview Preparation Coding Exercises,/course/python-interview-preparation-coding-exercises-c/,False,Free,False,Prepare for your technical interview by going through our coding exercises,English,Python Interview Preparation Coding Exercises,3.8,"Development,Programming Languages,Coding Interview","Learn how to break down complex problems, devise efficient algorithms, and implement practical solutions using Python.
Explore essential data structures such as arrays, linked lists, stacks, queues, trees, graphs, and hash tables.
Course covers common types of interview questions asked in Python programming interviews, such as string manipulation, array manipulation, sort and search.
Get practice on interview questions sourced from real-world company interview question stacks.",,"Python Interview Preparation Coding Exercises. 
 Prepare for your technical interview by going through our coding exercises. 
 Development,Programming Languages,Coding Interview. 
 Learn how to break down complex problems, devise efficient algorithms, and implement practical solutions using Python.
Explore essential data structures such as arrays, linked lists, stacks, queues, trees, graphs, and hash tables.
Course covers common types of interview questions asked in Python programming interviews, such as string manipulation, array manipulation, sort and search.
Get practice on interview questions sourced from real-world company interview question stacks.. 
 "
1122334,A Practical Introduction to Cloud Computing,/course/introduction-cloud-computing/,False,Free,False,Cloud Computing made simple with real world practical examples,English,A Practical Introduction to Cloud Computing,4.5,"IT & Software,Other IT & Software,Cloud Computing","Accurately define what Cloud Computing is and is not
Understand how Cloud Computing differs from traditional IT deployment models
Understand the building blocks of Cloud Computing
Define IaaS, PaaS, SaaS and XaaS and understand how they differ from each other
Understand the IaaS options including virtual machines on shared physical servers, virtual machines on dedicated servers, and dedicated bare-metal servers
Deploy a virtual machine on Amazon Web Services IaaS
Deploy an application on IBM Bluemix PaaS
Give examples of SaaS services they have already signed up for
List the advantages of Cloud Computing over traditional deployment models
Perform a TCO cost comparison between an On Premises or Cloud deployment for a real world IT workload",,"A Practical Introduction to Cloud Computing. 
 Cloud Computing made simple with real world practical examples. 
 IT & Software,Other IT & Software,Cloud Computing. 
 Accurately define what Cloud Computing is and is not
Understand how Cloud Computing differs from traditional IT deployment models
Understand the building blocks of Cloud Computing
Define IaaS, PaaS, SaaS and XaaS and understand how they differ from each other
Understand the IaaS options including virtual machines on shared physical servers, virtual machines on dedicated servers, and dedicated bare-metal servers
Deploy a virtual machine on Amazon Web Services IaaS
Deploy an application on IBM Bluemix PaaS
Give examples of SaaS services they have already signed up for
List the advantages of Cloud Computing over traditional deployment models
Perform a TCO cost comparison between an On Premises or Cloud deployment for a real world IT workload. 
 "
3479574,Free CCNA 200-301 Course: Network Fundamentals,/course/free-ccna-200-301-network-fundamentals/,False,Free,False,"Learn about bridges, hubs, switches, routers, firewalls, servers, clients and many other network fundamentals.",English,Free CCNA 200-301 Course: Network Fundamentals,4.6,"IT & Software,IT Certifications,Cisco Certified Network Associate (CCNA)","Why do we use networks?
What is sneakernet?
What are hubs?
What are switches?
How do routers work?
What are port numbers?",,"Free CCNA 200-301 Course: Network Fundamentals. 
 Learn about bridges, hubs, switches, routers, firewalls, servers, clients and many other network fundamentals.. 
 IT & Software,IT Certifications,Cisco Certified Network Associate (CCNA). 
 Why do we use networks?
What is sneakernet?
What are hubs?
What are switches?
How do routers work?
What are port numbers?. 
 "
605006,"Start Kali Linux, Ethical Hacking and Penetration Testing!",/course/ethical-hacker/,False,Free,False,"Learn the basics of ethical hacking, penetration testing, web testing and wifi hacking in kali linux!",English,"Start Kali Linux, Ethical Hacking and Penetration Testing!",4.4,"IT & Software,Network & Security,Kali Linux","Step by step instructions for insulation VirtualBox and creating your virtual environment on Windows, Mac, and Linux.
An introduction to attacking networks and breaking passwords.
Tips for remaining anonymous in hacking and penetration testing activities.
A clear understanding of what ethical hacking and penetration testing is.",,"Start Kali Linux, Ethical Hacking and Penetration Testing!. 
 Learn the basics of ethical hacking, penetration testing, web testing and wifi hacking in kali linux!. 
 IT & Software,Network & Security,Kali Linux. 
 Step by step instructions for insulation VirtualBox and creating your virtual environment on Windows, Mac, and Linux.
An introduction to attacking networks and breaking passwords.
Tips for remaining anonymous in hacking and penetration testing activities.
A clear understanding of what ethical hacking and penetration testing is.. 
 "
584648,Advanced Databases and SQL Querying,/course/advanced-tsql-querying-using-sql-2014/,False,Free,False,Learn advanced T-SQL Querying concepts. Go from a beginner SQL programmer to writing complex SQL Queries.,English,Advanced Databases and SQL Querying,4.5,"IT & Software,Other IT & Software,SQL","Write complex TSQL queries.
Know the different TSQL functionalities that exist
Write more efficient TSQL code",,"Advanced Databases and SQL Querying. 
 Learn advanced T-SQL Querying concepts. Go from a beginner SQL programmer to writing complex SQL Queries.. 
 IT & Software,Other IT & Software,SQL. 
 Write complex TSQL queries.
Know the different TSQL functionalities that exist
Write more efficient TSQL code. 
 "
